enduses,generic_enduse_change_value,generic_enduse_change_end_yr
rs_space_heating,0,2050
rs_water_heating,0,2050
rs_lighting,0,2050
rs_cooking,0,2050
rs_cold,0,2050
rs_wet,0,2050
rs_consumer_electronics,0,2050
rs_home_computing,0,2050
ss_space_heating,0,2050
ss_water_heating,0,2050
ss_cooling_humidification,0,2050
ss_fans,0,2050
ss_lighting,0,2050
ss_catering,0,2050
ss_small_power,0,2050
ss_ICT_equipment,0,2050
ss_cooled_storage,0,2050
ss_other_gas,0,2050
ss_other_electricity,0,2050
is_high_temp_process,0,2050
is_low_temp_process,0,2050
is_drying_separation,0,2050
is_motors,0,2050
is_compressed_air,0,2050
is_lighting,0,2050
is_space_heating,0,2050
is_other,0,2050
is_refrigeration,0,2050